iteration,learning_rate,batch_size,gru_units,cnn_filters,dense_units,dropout,f1_score,accuracy,epochs_run
1,0.007258242245740747,55,63,39,37,0.2295108198861367,0.9250585480093677,0.929125138427464,5
2,0.0015611595053025935,47,67,72,66,0.1388855940952809,0.9387078961899503,0.9385382059800664,14
3,8.450025396272782e-05,63,94,43,85,0.13671233958681697,0.9412435824301197,0.9429678848283499,21
4,0.0020135789514117643,63,69,43,116,0.2732232244198881,0.9410468319559229,0.9407530454042082,12
5,0.005137139163335791,33,69,30,61,0.24521453241985816,0.924072984108299,0.9285714285714286,7
6,0.004979903313196536,49,111,95,16,0.400327122168715,0.9201655824955648,0.925249169435216,5
7,0.004695433779768793,43,122,18,91,0.3087088818139111,0.9280280866003511,0.9318936877076412,9
8,0.008999949809427718,44,85,107,95,0.3166335716008515,0.9239766081871345,0.9280177187153932,8
9,0.0032049763678268176,43,117,84,106,0.26299598586497774,0.9292811221507891,0.9330011074197121,10
10,0.001057573640850085,46,20,62,109,0.2457767459879198,0.9386363636363636,0.9401993355481728,12
11,1e-05,64,95,23,83,0.13657950616991468,0.9202524383247275,0.9230343300110742,30
12,0.0017556137833721838,64,104,49,115,0.1,0.9399773499433749,0.9413067552602437,11
13,0.0021640337540822048,33,105,49,86,0.1,0.9359116022099447,0.9357696566998892,13
14,0.0005391310979476189,64,76,72,104,0.2708510496173319,0.9392757660167131,0.9396456256921373,13
15,0.0004904842798957297,35,89,78,107,0.1,0.9393258426966292,0.9401993355481728,13
16,1e-05,64,52,16,57,0.1,0.919104991394148,0.9219269102990033,30
17,0.001303445005364256,32,56,33,128,0.24431333317880957,0.9372937293729373,0.9368770764119602,23
18,0.01,60,61,93,124,0.38038829566029375,0.9180907483794932,0.9230343300110742,4
19,0.00041859527092838483,50,48,73,99,0.15506841432083243,0.9290322580645162,0.9330011074197121,8
20,0.001599412176755297,42,80,61,68,0.2548844435264961,0.9379932356257046,0.9390919158361019,13
21,1e-05,46,55,57,113,0.28116412871531654,0.9212050984936269,0.9246954595791805,30
22,0.0012985747942905026,64,98,53,81,0.17066824193684146,0.9331783846600813,0.9363233665559247,8
23,0.002456933264029347,64,103,40,128,0.15677875604443894,0.9408450704225352,0.9418604651162791,14
24,0.00027044473970883005,32,128,50,99,0.324628498752055,0.9307692307692308,0.9302325581395349,12
25,1e-05,50,85,76,109,0.1,0.9274193548387096,0.9302325581395349,30
26,0.0018720611130184784,64,74,16,128,0.10226802573017198,0.939169982944855,0.9407530454042082,15
27,0.0006273215398617469,64,73,47,128,0.11209358593967543,0.934589800443459,0.9346622369878184,14
28,0.001552660487435236,64,128,62,103,0.1,0.9420371412492966,0.9429678848283499,10
29,0.002727882960118543,64,35,27,128,0.21489009546277385,0.9429055963821368,0.9440753045404208,10
30,0.0011237196919039896,59,110,41,77,0.321167741055183,0.9266001174398121,0.9307862679955703,8
31,1e-05,64,63,37,55,0.1,0.9241379310344827,0.9269102990033222,30
32,0.0016952101319340576,64,16,53,83,0.17947754119019757,0.9369771332961517,0.9374307862679956,13
33,0.00021179120390566632,33,117,39,115,0.15683403891883085,0.938328530259366,0.9407530454042082,13
34,0.002008795263260297,64,121,36,110,0.15286590081226015,0.9336437718277066,0.9368770764119602,10
35,0.0012841278924876534,53,68,29,108,0.21272822270460176,0.9348314606741573,0.9357696566998892,11
36,0.001693962087772207,64,47,72,107,0.14992104210272292,0.9352909189777052,0.9341085271317829,9
37,0.002014996758797742,58,36,36,128,0.17408032017040354,0.9364991717283269,0.9363233665559247,17
38,0.00141177628173927,56,67,63,128,0.22183386817060224,0.9311551925320887,0.9346622369878184,8
39,0.003184396215352804,64,68,65,85,0.1831213643291346,0.9312809235843871,0.9307862679955703,14
40,0.002127577061977311,64,66,42,85,0.14011798632965347,0.9433748584371461,0.9446290143964563,11
41,0.0009406688630011752,62,44,62,77,0.14983328758860767,0.9317784256559767,0.9352159468438538,8
42,0.0013669412260179734,63,73,76,75,0.14648921009491098,0.9432265317594154,0.9440753045404208,13
43,0.0020545918356700654,53,49,50,128,0.11524212024124698,0.9349179400113187,0.9363233665559247,13
44,0.0015851520762510743,64,85,27,123,0.22923244909597817,0.9376723662437948,0.9374307862679956,17
45,0.001374331712190505,64,89,52,88,0.18139212982469533,0.9428891377379619,0.9435215946843853,15
46,0.00226158993559045,64,61,41,86,0.2534657654074152,0.9353176874642244,0.9374307862679956,13
47,0.0010686025811094703,64,85,37,128,0.15478441128357276,0.9271451699946034,0.925249169435216,12
48,0.0012405101466166802,55,75,48,128,0.16213375551399592,0.9384264538198404,0.9401993355481728,11
49,0.003297846930412828,64,99,40,95,0.1,0.9406444318824194,0.9418604651162791,7
50,0.0009506167550495858,63,87,45,94,0.13020394412104253,0.9356270810210877,0.9357696566998892,11
51,0.0022345581884346995,64,71,71,106,0.1782360416326764,0.9353176874642244,0.9374307862679956,7
52,0.0024926006244823835,64,74,52,105,0.1,0.9415807560137457,0.9435215946843853,7
