iteration,learning_rate,batch_size,gru_units,dense_units,dropout,f1_score,accuracy,epochs
1,0.006021742607654737,48,43,34,0.4857135491763981,0.9284876905041032,0.9324473975636767,14
2,0.002096139537271256,61,118,90,0.38660218684282344,0.9393592677345538,0.9413067552602437,26
3,0.002439207694682255,32,58,102,0.10679658391014618,0.9243401759530792,0.9285714285714286,8
4,0.006134752028423356,32,125,87,0.22569252312839702,0.9223529411764706,0.9269102990033222,5
5,0.00289931642724879,58,99,78,0.18586426088492425,0.930934416715032,0.9341085271317829,15
6,0.009749515032800873,49,66,106,0.22635292192478876,0.917605216360403,0.9230343300110742,7
7,0.0017177275353088765,53,73,73,0.4200747695960859,0.9253380364491476,0.9296788482834994,16
8,0.0008864139551367919,46,59,95,0.4994814150762158,0.9218390804597701,0.9246954595791805,14
9,7.662582385131024e-05,57,54,99,0.3757741234627361,0.9090909090909091,0.9136212624584718,11
10,0.005838023954216756,34,33,83,0.18016409303891467,0.9230769230769231,0.9269102990033222,8
11,0.0019728498328163055,37,32,50,0.40743329264176503,0.9225352112676056,0.9269102990033222,9
12,0.004635865895615244,64,45,98,0.3107057592562034,0.9325581395348838,0.9357696566998892,16
13,0.004220494627948813,64,109,77,0.4439665926482621,0.928654970760234,0.9324473975636767,16
14,0.0029095464531475462,46,32,39,0.3834286477817617,0.9258823529411765,0.9302325581395349,9
15,0.005563107919339102,64,128,87,0.38826245230767853,0.9174528301886793,0.9224806201550387,10
16,0.004146293173712652,32,61,91,0.2346924333965267,0.9333333333333333,0.9352159468438538,12
17,0.0013543243668656922,47,89,47,0.5,0.9367231638418079,0.937984496124031,30
18,0.004739277398016865,56,87,128,0.26458737784033687,0.9351100811123986,0.937984496124031,20
19,0.004547095447537887,64,75,40,0.25292027110697324,0.9379310344827586,0.9401993355481728,15
20,0.008109676387685496,62,48,46,0.17157793406863986,0.9269695227142035,0.9296788482834994,15
21,0.0029602248600014316,36,87,59,0.1678707342712441,0.9368658399098083,0.937984496124031,15
22,0.0010172095177761506,42,51,83,0.4858045485618742,0.926056338028169,0.9302325581395349,21
23,0.0010857107580947835,36,93,87,0.4795945692989583,0.9310344827586207,0.9335548172757475,23
24,0.002451992440394412,59,128,53,0.5,0.9246171967020024,0.929125138427464,9
25,0.002643362289057979,32,70,32,0.5,0.9237089201877934,0.9280177187153932,10
26,0.002607539789113508,34,70,55,0.3944810209079667,0.9388920616790406,0.9407530454042082,22
27,0.0037125472740308983,44,71,57,0.36536684405564984,0.9323308270676691,0.9352159468438538,22
28,1e-05,64,128,49,0.31911441406206786,0.9063231850117096,0.9114064230343301,30
29,0.0009900128375699,60,109,67,0.5,0.9389140271493213,0.9401993355481728,30
30,0.0013265721785401365,50,100,33,0.5,0.9395138496325608,0.9407530454042082,30
31,0.001273233035294492,64,125,37,0.4879944283138351,0.9267721148213239,0.9307862679955703,13
32,0.000939719120900453,64,107,99,0.3618823694384293,0.9264620729588883,0.9296788482834994,17
33,0.0013111202363920288,49,87,37,0.3456490278561568,0.9255813953488372,0.929125138427464,18
34,0.002187150555917785,64,128,126,0.5,0.9321663019693655,0.9313399778516057,19
35,1e-05,49,32,49,0.5,0.8946759259259259,0.8992248062015504,30
36,0.00235592952690812,59,124,61,0.43764468967181686,0.9382573571840739,0.9407530454042082,24
37,0.0012377012233427207,49,102,47,0.45972438862258863,0.9235294117647059,0.9280177187153932,10
38,1e-05,64,117,92,0.4723121348327802,0.9025821596244131,0.9080841638981174,30
39,0.0017018029997392604,60,93,70,0.20452805528974036,0.9405714285714286,0.9424141749723145,25
40,0.002214649198798669,64,99,69,0.27507258060211237,0.9325581395348838,0.9357696566998892,19
41,0.0018468194414203813,64,95,49,0.460361096987914,0.9285299244625218,0.9318936877076412,23
42,0.0020314650085191594,49,74,115,0.33341185312440985,0.9375722543352601,0.9401993355481728,25
43,0.00153757438219468,48,111,74,0.32351069398418414,0.9253208868144691,0.929125138427464,14
44,0.0016461880475412071,41,123,64,0.3032283756036313,0.926056338028169,0.9302325581395349,8
45,0.0006574267029049837,64,128,32,0.25794180863592436,0.9202813599062134,0.9246954595791805,14
46,0.0015934756406488669,47,90,55,0.17821638977457685,0.92573402417962,0.9285714285714286,17
47,0.0016778732639762637,64,115,106,0.3465222228552595,0.9239766081871345,0.9280177187153932,10
48,0.0025691160168116235,63,87,74,0.35788593184582745,0.9209905660377359,0.9258028792912514,8
49,0.001846900044038437,64,113,54,0.3895278048120705,0.9227193492155723,0.9263565891472868,9
