iteration,learning_rate,batch_size,gru_units,cnn_filters,dense_units,dropout,f1_score,accuracy,epochs_run
1,0.005358301210239861,280,79,118,55,0.17672938163652102,0.9300503637381086,0.9307862679955703,11
2,0.004549901725193723,376,48,87,18,0.45725644712366753,0.9254257193188491,0.9296788482834994,12
3,0.0020157860865948306,168,68,33,55,0.3739791570354083,0.9395296752519597,0.9401993355481728,19
4,0.005505412082638452,195,91,100,28,0.37010156021237894,0.926056338028169,0.9302325581395349,10
5,0.004840896447904203,463,106,49,60,0.1289737606605768,0.9286486486486486,0.9269102990033222,14
6,0.004935103840778907,223,53,53,22,0.24680409532517367,0.9340909090909091,0.9357696566998892,9
7,0.007480740796474194,270,103,81,21,0.2481967714514954,0.9325714285714286,0.9346622369878184,13
8,0.009388032319941593,278,64,64,64,0.34372180233775707,0.9361942405420667,0.9374307862679956,13
9,0.000900553455166922,331,60,92,44,0.39764233222011647,0.9443813847900113,0.9457364341085271,28
10,0.008288116360038551,209,115,61,23,0.11900307406022077,0.9381033503691084,0.9396456256921373,15
11,0.002045125688911518,108,32,63,16,0.1,0.9341801385681293,0.9368770764119602,9
12,0.006521299894207661,195,65,54,16,0.1,0.9365351629502573,0.9385382059800664,10
13,0.006418487810309729,271,79,93,55,0.2601608265956213,0.9397042093287827,0.9413067552602437,9
14,0.0027596946570556126,424,44,32,37,0.2743480827791313,0.6464047442550037,0.7358803986710963,6
15,0.002333140662856604,64,50,51,41,0.27183305031350824,0.9369266055045872,0.9390919158361019,9
16,0.005117172946723404,136,82,95,40,0.26213399214128796,0.9359773371104816,0.9374307862679956,9
17,0.0077684601858143895,187,96,103,16,0.1153319798786182,0.9375,0.937984496124031,11
18,0.0076688537712280985,309,56,76,45,0.5,0.9241622574955908,0.9285714285714286,12
19,0.0033660595020486416,409,32,32,47,0.19981533987866626,0.9367816091954023,0.9390919158361019,19
20,0.00488878776320703,189,81,79,37,0.1,0.9296235679214403,0.9285714285714286,12
21,0.006135535101855748,168,128,86,31,0.1,0.9429530201342282,0.9435215946843853,15
22,0.004757137105466636,324,100,128,43,0.2341909437446038,0.937070938215103,0.9390919158361019,17
23,0.0037867993718080192,192,35,84,49,0.31467077965783563,0.9324169530355098,0.9346622369878184,14
24,0.0034926564672777163,228,55,77,46,0.20645863100453946,0.9391007398975526,0.9407530454042082,15
25,0.008043691545769822,365,81,98,32,0.20539132953640724,0.8895582329317269,0.8781838316722038,20
26,0.0033991383398362836,64,104,32,41,0.21420738129481234,0.9369067560022334,0.9374307862679956,13
27,0.007178177139551607,182,93,79,64,0.24612541494159623,0.937641723356009,0.9390919158361019,14
28,0.004523082697089307,297,67,94,26,0.18953740809150912,0.9335664335664335,0.9368770764119602,14
29,0.0060306482729624855,125,84,66,34,0.15375692408405198,0.9354094579008074,0.937984496124031,11
30,0.008151943498184403,248,128,95,16,0.29577401412554266,0.9316987740805605,0.9352159468438538,15
31,0.0018180194830378672,89,40,100,42,0.1,0.9372146118721462,0.9390919158361019,11
32,0.003651161626196829,111,80,32,49,0.2291582748409069,0.9330227140361095,0.9363233665559247,8
33,0.0021853752787810983,418,83,92,22,0.27976594037690034,0.9291983616149795,0.9330011074197121,20
34,1e-05,311,101,104,35,0.3093631167781678,0.904297994269341,0.907530454042082,30
35,0.0037423449863244022,212,106,32,50,0.30544464827805357,0.9446952595936795,0.9457364341085271,22
36,0.0036904968720209972,172,89,128,34,0.2567097925869117,0.9325905292479109,0.9330011074197121,9
37,0.005119473158144983,259,103,128,29,0.18910267906715064,0.9366076527698458,0.9385382059800664,15
38,0.00018953749085495958,320,69,73,43,0.1475762854026525,0.9387984278495227,0.9396456256921373,30
39,0.0035559847679732513,271,105,80,59,0.16339483306235877,0.9387755102040817,0.9401993355481728,18
40,0.001536555751544966,339,73,87,27,0.27593937039825883,0.9072411729503291,0.9141749723145072,14
41,0.0026889116348060814,188,114,96,45,0.2669961043603199,0.9169632265717675,0.9224806201550387,9
42,0.00521276636516912,215,98,81,35,0.38978172598350125,0.9298550724637681,0.9330011074197121,9
43,0.004088847014907794,291,118,86,27,0.19292585827203315,0.9355581127733027,0.937984496124031,15
44,0.003220037967852842,234,103,50,25,0.4179682672654374,0.9378847229994404,0.9385382059800664,17
45,0.0026932882148095476,216,102,88,36,0.2547790766261547,0.9247311827956989,0.9224806201550387,17
46,0.0043822894638785095,221,76,70,52,0.3094608641716868,0.9273153575615475,0.9313399778516057,11
47,0.005270911633809303,133,79,67,50,0.21027557220900717,0.9333333333333333,0.9330011074197121,13
48,0.005998245330169472,153,78,51,42,0.3967799801488186,0.9316338354577057,0.9346622369878184,15
49,0.0016014121004870637,180,70,101,18,0.3726731935965521,0.9403747870528109,0.9418604651162791,23
50,0.0025154064682736195,136,107,77,64,0.5,0.9368541905855339,0.9390919158361019,15
51,0.000652747493297556,190,64,62,44,0.24309449961662374,0.9367088607594937,0.9390919158361019,16
52,0.0032963423865816984,285,103,88,46,0.3186727452923584,0.9452054794520548,0.946843853820598,17
