iteration,learning_rate,batch_size,gru_units,dropout,f1_score,accuracy,epochs_run
1,0.0034021790966268393,409,37,0.3595835698713007,0.9206349206349206,0.925249169435216,30
2,0.0016158094242833684,310,21,0.3506816011535614,0.9143855562026791,0.9186046511627907,6
3,0.002104769797498777,494,44,0.3620471531449666,0.9038686987104337,0.9091915836101883,5
4,0.0014735234151289755,325,49,0.49712357336868973,0.926205694363742,0.9296788482834994,30
5,0.0023034472153543695,269,115,0.28843913400740917,0.928164196123147,0.9302325581395349,30
6,0.002638524906068984,160,117,0.47966540126837065,0.9356125356125357,0.9374307862679956,26
7,0.005888868397735904,99,127,0.3808628779359102,0.9334067143643369,0.9330011074197121,14
8,0.009641875843836018,296,35,0.13278065511420906,0.9329512893982808,0.9352159468438538,26
9,0.006563516533629622,493,52,0.266288923387561,0.9333333333333333,0.9352159468438538,25
10,0.004539458038002014,396,98,0.3470000630436956,0.9244288224956063,0.9285714285714286,15
11,0.005684698001270774,388,60,0.25685270548999906,0.9275843007186291,0.9274640088593576,28
12,0.005436967283013387,216,112,0.4981696390529888,0.9308176100628931,0.9330011074197121,15
13,0.0006392217109377874,512,128,0.3169819805379663,0.9085681426106959,0.9119601328903655,10
14,0.007849958540077574,64,128,0.5,0.9276201505500868,0.9307862679955703,13
15,0.004383520578394352,174,118,0.28881337301548865,0.9318832283915284,0.9341085271317829,15
16,0.007181031326437733,64,79,0.265855740086049,0.9235294117647059,0.9280177187153932,8
17,0.01,108,98,0.17560120123586528,0.9281705948372615,0.929125138427464,9
18,0.0045161820100859985,64,49,0.15177775267775653,0.9347462353597323,0.9352159468438538,14
19,0.0009031067335867098,79,16,0.47890019523809485,0.9245172615564657,0.9285714285714286,30
20,0.00495062143976445,96,101,0.4677373044605404,0.9370391378332388,0.9385382059800664,14
21,0.001726432043386611,64,110,0.45128943584265907,0.9287749287749287,0.9307862679955703,14
22,0.004946350069696318,74,109,0.5,0.9355019629837352,0.9363233665559247,20
23,0.005713609171039825,227,46,0.5,0.9259896729776248,0.9285714285714286,16
24,0.0029672419357662655,64,128,0.5,0.939921392476137,0.9407530454042082,19
25,0.0038147642069316606,134,57,0.5,0.9407744874715261,0.9424141749723145,25
26,0.0015844734606096603,191,102,0.44128114238253535,0.905972797161443,0.9119601328903655,4
27,0.004294236320141317,140,51,0.21512138589315136,0.9346622369878184,0.9346622369878184,20
28,0.0013588349970943278,108,44,0.3801674095004412,0.9317129629629629,0.9346622369878184,30
29,0.005133039715514498,270,103,0.4084766642278486,0.9218203033838973,0.9258028792912514,10
30,0.004349729916755466,154,121,0.1962696975428018,0.9346961953435547,0.9363233665559247,15
31,0.004052934842841876,64,88,0.40756790132664084,0.9394780677401444,0.9396456256921373,15
32,0.005842249994039584,100,75,0.2903497206009827,0.9348571428571428,0.9368770764119602,12
33,0.005797297585016022,114,93,0.5,0.9370165745856354,0.9368770764119602,20
34,0.003980543513537435,133,16,0.35686075979930393,0.9241622574955908,0.9285714285714286,15
35,0.0032569222151164604,86,90,0.4250790170781298,0.9332591768631813,0.9335548172757475,21
36,0.0016263011920667713,77,116,0.3848657440873246,0.9301260022909508,0.9324473975636767,18
37,0.0035289086925922603,73,39,0.5,0.9309576837416481,0.9313399778516057,17
38,0.002219011027208709,92,128,0.5,0.9357798165137615,0.937984496124031,18
39,0.002116835812339704,64,61,0.4004962521550119,0.92894280762565,0.9318936877076412,19
40,0.003949522753561307,82,71,0.4683921464544736,0.9297475301866082,0.929125138427464,17
41,0.002825349938084639,86,81,0.45118636039127596,0.9398663697104677,0.9401993355481728,26
42,0.0032897624148141495,101,16,0.5,0.9236111111111112,0.9269102990033222,14
43,0.00020530357061122463,86,68,0.4456337160118777,0.9104651162790698,0.9147286821705426,8
44,0.003697570813374696,78,21,0.5,0.9392575928008999,0.9401993355481728,28
45,0.004195278446978739,94,93,0.4594352402108292,0.9337078651685393,0.9346622369878184,16
46,0.003501823351201229,81,89,0.5,0.9398969662278192,0.9418604651162791,26
47,0.003718179373977082,110,81,0.36260244387429164,0.9345475241889585,0.9363233665559247,25
48,0.0038187510558924114,68,29,0.5,0.9270833333333334,0.9302325581395349,18
49,0.0035492228529069593,145,103,0.25878204275652356,0.9304347826086956,0.929125138427464,23
50,0.005249615105090839,152,96,0.4981238866445627,0.9440443213296399,0.9440753045404208,24
51,0.003783531242974115,100,106,0.5,0.9364289662797125,0.9363233665559247,28
52,0.0045982383572113665,123,128,0.5,0.9379157427937915,0.937984496124031,19
53,0.004616279976229068,147,93,0.5,0.9376391982182628,0.937984496124031,21
54,0.003954046302072997,123,101,0.35827989012248684,0.9343715239154616,0.9346622369878184,20
55,0.0038033808708564844,126,69,0.5,0.928915018706574,0.9263565891472868,23
56,0.0038562932450335284,163,110,0.42016970197881065,0.9309754706217912,0.9330011074197121,17
57,0.004374872208733441,118,107,0.2499496619145661,0.9279031370390755,0.9274640088593576,16
58,0.005617937002590184,115,62,0.5,0.9356081452944414,0.9352159468438538,19
59,0.004741475533160197,73,94,0.4803326825338372,0.9361233480176211,0.9357696566998892,15
